year,category,motivation,fullName,gender,bornCountry,bornCity,organizationName,organizationCountry,organizationCity,born,age
2023,medicine,for their discoveries concerning nucleoside base modifications that enabled the development of effective mRNA vaccines against COVID-19,Katalin Kariko,female,Hungary,Szolnok,Szeged University,Hungary,Szeged,1955/1/17,68
2023,economics,for having advanced our understanding of womens labour market outcomes,Claudia Goldin,female,USA,New York NY,Harvard University,USA,Cambridge MA,1946/1/1,77
2023,chemistry,for the discovery and synthesis of quantum dots,Louis Brus,male,USA,Cleveland OH,Columbia University,USA,New York NY,1943/1/1,80
2023,chemistry,for the discovery and synthesis of quantum dots,Moungi Bawendi,male,France,Paris,Massachusetts Institute of Technology (MIT),USA,Cambridge MA,1961/1/1,62
2023,physics,for experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter,Anne L Huillier,female,France,Paris,Lund University,Sweden,Lund,1958/8/16,65
2023,physics,for experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter,Ferenc Krausz,male,Hungary,Mor,Max Planck Institute of Quantum Optics,Germany,Garching,1962/5/17,61
2023,physics,for experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter,Pierre Agostini,male,Tunisia,Tunis,The Ohio State University,USA,Columbus OH,1941/7/23,82
2023,medicine,for their discoveries concerning nucleoside base modifications that enabled the development of effective mRNA vaccines against COVID-19,Drew Weissman,male,USA,Lexington MA,Penn Institute for RNA Innovations University of Pennsylvania,USA,Philadelphia PA,1959/7/9,64
2022,physics,for experiments with entangled photons establishing the violation of Bell inequalities and  pioneering quantum information science,Alain Aspect,male,France,Agen,Institut d'Optique Graduate School - Universite Paris-Saclay,France,Paris,1947/6/15,75
2022,medicine,for his discoveries concerning the genomes of extinct hominins and human evolution,Svante Paebo,male,Sweden,Stockholm,Max Planck Institute for Evolutionary Anthropology,Germany,Leipzig,1955/4/20,67
2022,economics,for research on banks and financial crises,Philip Dybvig,male,USA,Gainesville FL,Washington University,USA,St. Louis MO,1955/5/22,67
2022,economics,for research on banks and financial crises,Douglas Diamond,male,USA,Chicago IL,University of Chicago,USA,Chicago IL,1953/10/25,69
2022,economics,for research on banks and financial crises,Ben Bernanke,male,USA,Augusta GA,The Brookings Institution,USA,Washington D.C.,1953/12/13,69
2022,chemistry,for the development of click chemistry and bioorthogonal chemistry,Morten Meldal,male,Denmark,Copenhagen,University of Copenhagen,Denmark,Copenhagen,1954/1/1,68
2022,chemistry,for the development of click chemistry and bioorthogonal chemistry,Carolyn Bertozzi,female,USA,Boston MA,Stanford University,USA,Stanford CA,1966/10/10,56
2022,physics,for experiments with entangled photons establishing the violation of Bell inequalities and  pioneering quantum information science,Anton Zeilinger,male,Austria,Ried im Innkreis,University of Vienna,Austria,Vienna,1945/5/20,77
2022,physics,for experiments with entangled photons establishing the violation of Bell inequalities and  pioneering quantum information science,John Clauser,male,USA,Pasadena CA,J.F. Clauser & Assoc.,USA,Walnut Creek CA,1942/1/12,80
2022,chemistry,for the development of click chemistry and bioorthogonal chemistry,Barry Sharpless,male,USA,Philadelphia PA,Scripps Research,USA,La Jolla CA,1941/4/28,81
2021,chemistry,for the development of asymmetric organocatalysis,Benjamin List,male,Germany,Frankfurt-on-the-Main,Max Planck Institute for Coal Research,Germany,Mulheim an der Ruhr,1968/11/1,53
2021,economics,for their methodological contributions to the analysis of causal relationships,Guido Imbens,male,the Netherlands,Geldrop,Stanford University,USA,Stanford CA,1963/3/9,58
2021,economics,for their methodological contributions to the analysis of causal relationships,Joshua Angrist,male,USA,Columbus OH,Massachusetts Institute of Technology (MIT),USA,Cambridge MA,1960/9/18,61
2021,economics,for his empirical contributions to labour economics,David Card,male,Canada,Guelph,University of California,USA,Berkeley CA,1956/1/1,65
2021,chemistry,for the development of asymmetric organocatalysis,David MacMillan,male,United Kingdom,Bellshill,Princeton University,USA,Princeton NJ,1968/3/16,53
2021,physics,for the discovery of the interplay of disorder and fluctuations in physical systems from atomic to planetary scales,Giorgio Parisi,male,Italy,Rome,Sapienza University of Rome,Italy,Rome,1948/4/8,73
2021,physics,for the physical modelling of Earths climate quantifying variability and reliably predicting global warming,Klaus Hasselmann,male,Germany,Hamburg,Max Planck Institute for Meteorology,Germany,Hamburg,1931/10/25,90
2021,physics,for the physical modelling of Earths climate quantifying variability and reliably predicting global warming,Syukuro Manabe,male,Japan,Shingu Ehime,Princeton University,USA,Princeton NJ,1931/9/21,90
2021,medicine,for their discoveries of receptors for temperature and touch,Ardem Patapoutian,male,Lebanon,Beirut,Scripps Research,USA,La Jolla CA,1967/1/1,54
2021,medicine,for their discoveries of receptors for temperature and touch,David Julius,male,USA,New York NY,University of California,USA,San Francisco CA,1955/4/11,66
2020,economics,for improvements to auction theory and inventions of new auction formats,Robert Wilson,male,USA,Geneva NE,Stanford University,USA,Stanford CA,1937/5/16,83
2020,economics,for improvements to auction theory and inventions of new auction formats,Paul Milgrom,male,USA,Detroit MI,Stanford University,USA,Stanford CA,1948/4/20,72
2020,chemistry,for the development of a method for genome editing,Jennifer A. Doudna,female,USA,Washington D.C.,University of California,USA,Berkeley CA,1964/2/19,56
2020,chemistry,for the development of a method for genome editing,Emmanuelle Charpentier,female,France,Juvisy-sur-Orge,Max Planck Unit for the Science of Pathogens,Germany,Berlin,1968/11/12,52
